ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
12,0.42,0.50,2.22e-01,2.52e-02,0.11
24,0.42,0.50,3.29e-01,4.67e-02,0.14
36,0.42,0.50,2.52e-01,2.52e-02,0.10
48,0.42,0.50,3.57e-01,4.00e-02,0.11
60,0.42,0.50,3.07e-01,3.55e-02,0.12
72,0.42,0.50,3.47e-01,2.75e-02,0.08
84,0.42,0.50,3.00e-01,4.37e-02,0.15
96,0.43,0.50,3.52e-01,3.24e-02,0.09
108,0.43,0.50,1.63e-01,2.16e-02,0.13
120,0.43,0.50,2.97e-01,2.86e-02,0.10
132,0.43,0.50,3.47e-01,4.61e-02,0.13
144,0.43,0.50,3.29e-01,4.17e-02,0.13
156,0.42,0.50,3.52e-01,5.20e-02,0.15
168,0.42,0.50,3.55e-01,3.42e-02,0.10
180,0.43,0.50,3.98e-01,7.56e-02,0.19
192,0.42,0.50,2.33e-01,4.95e-02,0.21
204,0.42,0.50,4.10e-01,5.49e-02,0.13
216,0.42,0.50,4.08e-01,3.41e-02,0.08
228,0.42,0.50,4.23e-01,3.32e-02,0.08
240,0.42,0.50,7.15e-01,8.87e-02,0.12
252,0.42,0.50,4.41e-01,4.62e-02,0.10
264,0.42,0.50,3.50e-01,6.04e-02,0.17
276,0.42,0.49,2.70e-01,2.70e-02,0.10
288,0.42,0.49,3.12e-01,2.14e-02,0.07
300,0.42,0.50,3.28e-01,3.78e-02,0.12
312,0.43,0.50,5.30e-01,6.63e-02,0.13
324,0.43,0.50,3.67e-01,5.01e-02,0.14
336,0.43,0.50,3.12e-01,3.23e-02,0.10
348,0.43,0.50,5.06e-01,3.05e-02,0.06
360,0.43,0.50,3.25e-01,3.34e-02,0.10
372,0.43,0.50,5.13e-01,6.77e-02,0.13
384,0.43,0.50,3.33e-01,2.99e-02,0.09
396,0.43,0.50,4.25e-01,3.02e-02,0.07
408,0.43,0.50,3.49e-01,4.64e-02,0.13
420,0.43,0.50,3.69e-01,2.52e-02,0.07
432,0.43,0.50,4.48e-01,8.13e-02,0.18
444,0.43,0.50,3.79e-01,5.04e-02,0.13
456,0.43,0.50,3.26e-01,2.65e-02,0.08
468,0.43,0.50,4.27e-01,5.11e-02,0.12
480,0.43,0.50,3.54e-01,3.83e-02,0.11
492,0.43,0.50,1.80e-01,1.76e-02,0.10
504,0.43,0.51,3.66e-01,4.42e-02,0.12
516,0.43,0.51,9.92e-01,1.92e-01,0.19
528,0.43,0.50,3.51e-01,6.30e-02,0.18
540,0.43,0.51,3.97e-01,4.18e-02,0.11
552,0.43,0.51,6.95e-01,2.12e-01,0.31
564,0.43,0.51,3.85e-01,4.90e-02,0.13
576,0.43,0.51,4.00e-01,5.32e-02,0.13
588,0.43,0.51,8.88e-01,1.04e-01,0.12
600,0.43,0.51,4.36e-01,7.32e-02,0.17
612,0.43,0.51,6.44e-01,1.27e-01,0.20
624,0.43,0.51,8.13e-01,1.12e-01,0.14
636,0.43,0.51,3.98e-01,4.63e-02,0.12
648,0.43,0.51,3.90e-01,5.50e-02,0.14
660,0.43,0.51,4.83e-01,4.00e-02,0.08
672,0.43,0.51,4.44e-01,6.07e-02,0.14
684,0.43,0.51,7.40e-01,1.34e-01,0.18
696,0.43,0.51,2.62e-01,2.51e-02,0.10
708,0.43,0.51,2.97e-01,2.87e-02,0.10
720,0.43,0.51,5.08e-01,1.22e-01,0.24
732,0.43,0.51,2.25e-01,3.14e-02,0.14
744,0.43,0.51,3.71e-01,3.54e-02,0.10
756,0.43,0.51,2.65e-01,2.49e-02,0.09
768,0.43,0.51,7.87e-01,7.40e-02,0.09
780,0.43,0.51,5.84e-01,5.03e-02,0.09
792,0.43,0.51,3.26e-01,4.88e-02,0.15
804,0.43,0.51,3.19e-01,3.49e-02,0.11
816,0.43,0.51,4.12e-01,4.00e-02,0.10
828,0.43,0.51,1.78e+00,9.19e-01,0.51
840,0.43,0.51,3.98e-01,4.85e-02,0.12
852,0.43,0.51,2.26e-01,2.70e-02,0.12
864,0.43,0.51,3.91e-01,3.64e-02,0.09
876,0.43,0.51,4.15e-01,4.12e-02,0.10
888,0.43,0.51,4.13e-01,5.73e-02,0.14
900,0.43,0.51,3.43e-01,4.28e-02,0.12
912,0.43,0.51,3.10e-01,4.05e-02,0.13
924,0.43,0.51,6.10e-01,6.91e-02,0.11
936,0.43,0.51,4.51e-01,3.55e-02,0.08
948,0.43,0.51,3.87e-01,3.23e-02,0.08
960,0.43,0.51,2.38e-01,2.32e-02,0.10
972,0.43,0.51,3.73e-01,4.83e-02,0.13
984,0.43,0.50,5.37e-01,6.17e-02,0.11
996,0.43,0.50,1.27e+00,1.59e-01,0.13
1008,0.43,0.51,4.41e-01,5.49e-02,0.12
1020,0.43,0.51,4.33e-01,4.34e-02,0.10
1032,0.43,0.51,5.61e-01,8.78e-02,0.16
1044,0.43,0.51,4.01e-01,7.89e-02,0.20
1056,0.43,0.51,2.66e-01,2.17e-02,0.08
1068,0.43,0.51,4.38e-01,4.87e-02,0.11
1080,0.43,0.51,3.08e-01,3.54e-02,0.12
1092,0.43,0.51,3.09e-01,3.48e-02,0.11
1104,0.43,0.51,3.30e-01,4.31e-02,0.13
1116,0.43,0.51,3.08e-01,3.51e-02,0.11
1128,0.43,0.51,3.39e-01,4.58e-02,0.14
1140,0.43,0.51,2.91e-01,2.90e-02,0.10
1152,0.43,0.51,2.99e-01,3.87e-02,0.13
1164,0.43,0.51,3.61e-01,4.09e-02,0.11
1176,0.43,0.51,3.77e-01,4.81e-02,0.13
1188,0.43,0.51,3.60e-01,3.74e-02,0.10
1200,0.43,0.51,3.15e-01,3.38e-02,0.11
1212,0.43,0.51,4.17e-01,4.16e-02,0.10
1224,0.43,0.51,3.17e-01,4.05e-02,0.13
1236,0.43,0.51,3.06e-01,6.61e-02,0.22
1248,0.43,0.51,2.57e-01,2.48e-02,0.10
1260,0.43,0.51,3.89e-01,4.67e-02,0.12
1272,0.42,0.51,4.45e-01,3.89e-02,0.09
1284,0.42,0.51,4.36e-01,4.79e-02,0.11
1296,0.42,0.51,2.08e-01,2.07e-02,0.10
1308,0.42,0.51,5.52e-01,4.29e-02,0.08
1320,0.42,0.51,4.03e-01,2.52e-02,0.06
1332,0.42,0.51,4.29e-01,4.16e-02,0.10
1344,0.42,0.51,3.96e-01,5.54e-02,0.14
1356,0.43,0.51,4.73e-01,5.11e-02,0.11
1368,0.43,0.51,5.58e-01,6.25e-02,0.11
1380,0.42,0.51,4.49e-01,5.01e-02,0.11
1392,0.43,0.51,4.95e-01,5.02e-02,0.10
1404,0.43,0.51,3.62e-01,4.14e-02,0.11
1416,0.43,0.51,5.93e-01,3.06e-02,0.05
1428,0.43,0.51,4.00e-01,5.41e-02,0.14
1440,0.43,0.51,3.44e-01,3.51e-02,0.10
1452,0.43,0.51,4.96e-01,3.58e-02,0.07
1464,0.43,0.51,3.56e-01,5.44e-02,0.15
1476,0.43,0.51,3.23e-01,2.51e-02,0.08
1488,0.43,0.51,2.91e-01,4.97e-02,0.17
1500,0.43,0.51,4.83e-01,3.38e-02,0.07
1512,0.42,0.51,3.45e-01,3.62e-02,0.11
1524,0.42,0.51,3.22e-01,3.14e-02,0.10
1536,0.42,0.51,6.86e-01,5.22e-02,0.08
1548,0.42,0.51,4.89e-01,4.84e-02,0.10
1560,0.42,0.51,2.89e-01,3.54e-02,0.12
1572,0.43,0.51,2.83e-01,2.52e-02,0.09
1584,0.43,0.51,7.94e-01,8.75e-02,0.11
1596,0.43,0.51,3.88e-01,5.83e-02,0.15
1608,0.43,0.51,5.42e-01,4.81e-02,0.09
1620,0.43,0.51,3.09e-01,4.16e-02,0.13
1632,0.43,0.51,4.46e-01,3.01e-02,0.07
1644,0.43,0.51,9.41e-01,8.50e-02,0.09
1656,0.43,0.51,3.52e-01,2.76e-02,0.08
1668,0.43,0.51,3.43e-01,4.48e-02,0.13
1680,0.43,0.51,8.30e-01,6.51e-02,0.08
1692,0.43,0.51,5.97e-01,7.32e-02,0.12
1704,0.43,0.51,4.81e-01,7.54e-02,0.16
1716,0.43,0.51,3.95e-01,5.42e-02,0.14
1728,0.43,0.51,5.16e-01,7.06e-02,0.14
1740,0.43,0.51,4.26e-01,4.15e-02,0.10
1752,0.43,0.51,4.76e-01,4.91e-02,0.10
1764,0.43,0.51,5.62e-01,1.04e-01,0.19
1776,0.43,0.51,5.09e-01,5.67e-02,0.11
1788,0.43,0.51,3.48e-01,4.19e-02,0.12
1800,0.43,0.51,3.16e-01,4.66e-02,0.15
1812,0.43,0.51,5.46e-01,5.26e-02,0.10
1824,0.42,0.51,4.78e-01,4.86e-02,0.10
1836,0.43,0.51,3.71e-01,3.89e-02,0.10
1848,0.42,0.51,3.98e-01,3.37e-02,0.08
1860,0.42,0.51,3.88e-01,3.57e-02,0.09
1872,0.42,0.51,3.37e-01,3.20e-02,0.10
1884,0.42,0.51,3.74e-01,4.29e-02,0.11
1896,0.42,0.51,4.50e-01,3.92e-02,0.09
1908,0.42,0.51,5.51e-01,5.94e-02,0.11
1920,0.42,0.51,4.90e-01,3.95e-02,0.08
1932,0.42,0.51,4.44e-01,5.24e-02,0.12
1944,0.42,0.51,5.07e-01,7.20e-02,0.14
1956,0.42,0.51,4.44e-01,3.39e-02,0.08
1968,0.42,0.51,4.19e-01,5.28e-02,0.13
1980,0.42,0.51,3.61e-01,3.36e-02,0.09
1992,0.42,0.51,3.77e-01,4.30e-02,0.11
2000,0.42,0.51,7.12e-01,1.65e-01,0.23
