ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
1356,0.42,0.51,5.77e-01,2.91e-02,0.05
1368,0.42,0.51,5.41e-01,3.85e-02,0.07
1380,0.42,0.50,5.22e-01,3.94e-02,0.08
1392,0.42,0.50,3.81e-01,2.89e-02,0.08
1404,0.42,0.50,4.22e-01,2.89e-02,0.07
1416,0.42,0.50,4.74e-01,3.05e-02,0.06
1428,0.42,0.50,4.02e-01,4.33e-02,0.11
1440,0.42,0.50,3.92e-01,3.75e-02,0.10
1452,0.42,0.50,4.24e-01,2.98e-02,0.07
1464,0.42,0.50,5.27e-01,4.77e-02,0.09
1476,0.42,0.50,6.11e-01,6.84e-02,0.11
1488,0.42,0.50,5.64e-01,4.78e-02,0.08
1500,0.42,0.51,5.99e-01,2.87e-02,0.05
1512,0.42,0.51,6.22e-01,5.83e-02,0.09
1524,0.42,0.51,4.21e-01,4.28e-02,0.10
1536,0.42,0.51,4.54e-01,2.99e-02,0.07
1548,0.42,0.51,5.37e-01,5.07e-02,0.09
1560,0.42,0.51,3.19e-01,3.67e-02,0.12
1572,0.42,0.51,4.01e-01,4.04e-02,0.10
1584,0.42,0.51,9.14e-01,1.06e-01,0.12
1596,0.42,0.51,4.64e-01,3.09e-02,0.07
1608,0.42,0.51,6.58e-01,5.94e-02,0.09
1620,0.42,0.51,3.47e-01,2.13e-02,0.06
1632,0.42,0.51,4.90e-01,4.37e-02,0.09
1644,0.42,0.51,5.90e-01,4.95e-02,0.08
1656,0.42,0.51,6.49e-01,3.71e-02,0.06
1668,0.42,0.51,5.25e-01,2.80e-02,0.05
1680,0.42,0.51,4.89e-01,3.84e-02,0.08
1692,0.42,0.51,7.02e-01,3.64e-02,0.05
1704,0.42,0.51,4.45e-01,4.67e-02,0.10
1716,0.42,0.51,8.13e-01,7.95e-02,0.10
1728,0.43,0.51,5.82e-01,5.29e-02,0.09
1740,0.43,0.51,5.21e-01,5.55e-02,0.11
1752,0.43,0.51,3.84e-01,3.68e-02,0.10
1764,0.42,0.51,4.26e-01,4.03e-02,0.09
1776,0.42,0.51,3.51e-01,2.63e-02,0.07
1788,0.42,0.51,5.59e-01,4.51e-02,0.08
1800,0.42,0.51,4.16e-01,2.17e-02,0.05
