ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
2568,0.41,0.51,5.73e-01,4.88e-02,0.09
2580,0.41,0.51,5.52e-01,3.64e-02,0.07
2592,0.41,0.52,5.47e-01,4.61e-02,0.08
2604,0.41,0.52,5.45e-01,3.56e-02,0.07
2616,0.41,0.52,6.65e-01,4.16e-02,0.06
2628,0.41,0.52,5.32e-01,3.63e-02,0.07
2640,0.41,0.52,5.58e-01,5.74e-02,0.10
2652,0.41,0.52,5.12e-01,3.66e-02,0.07
2664,0.41,0.52,5.85e-01,3.97e-02,0.07
2676,0.41,0.52,4.61e-01,3.01e-02,0.07
2688,0.41,0.52,7.46e-01,5.22e-02,0.07
2700,0.41,0.52,7.13e-01,4.97e-02,0.07
2712,0.41,0.52,4.87e-01,3.68e-02,0.08
2724,0.41,0.52,5.84e-01,3.57e-02,0.06
2736,0.41,0.52,6.49e-01,3.81e-02,0.06
