ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
12,0.43,0.49,6.55e-01,4.46e-02,0.07
24,0.43,0.49,5.75e-01,4.66e-02,0.08
36,0.43,0.49,6.62e-01,3.37e-02,0.05
48,0.43,0.49,7.44e-01,5.25e-02,0.07
60,0.43,0.49,5.29e-01,2.52e-02,0.05
72,0.43,0.49,5.97e-01,3.98e-02,0.07
84,0.43,0.49,6.57e-01,3.51e-02,0.05
96,0.43,0.49,5.80e-01,5.01e-02,0.09
108,0.43,0.49,6.14e-01,4.73e-02,0.08
120,0.43,0.49,6.75e-01,4.89e-02,0.07
132,0.43,0.49,5.94e-01,4.21e-02,0.07
144,0.43,0.49,6.03e-01,5.08e-02,0.08
156,0.43,0.49,6.48e-01,3.00e-02,0.05
168,0.44,0.49,5.43e-01,4.50e-02,0.08
180,0.44,0.49,6.82e-01,4.55e-02,0.07
192,0.44,0.49,6.67e-01,3.17e-02,0.05
204,0.44,0.49,5.84e-01,3.47e-02,0.06
216,0.44,0.49,6.15e-01,2.55e-02,0.04
228,0.44,0.49,6.17e-01,4.17e-02,0.07
240,0.44,0.49,5.80e-01,4.39e-02,0.08
252,0.43,0.49,5.25e-01,3.25e-02,0.06
264,0.43,0.49,5.99e-01,4.13e-02,0.07
276,0.43,0.49,6.09e-01,2.89e-02,0.05
288,0.44,0.49,6.87e-01,3.54e-02,0.05
300,0.44,0.50,5.94e-01,3.04e-02,0.05
312,0.44,0.50,6.08e-01,4.05e-02,0.07
324,0.44,0.50,6.41e-01,3.64e-02,0.06
336,0.44,0.50,5.71e-01,3.52e-02,0.06
348,0.44,0.50,5.51e-01,3.11e-02,0.06
360,0.44,0.50,5.96e-01,4.11e-02,0.07
372,0.44,0.50,5.58e-01,2.17e-02,0.04
384,0.44,0.50,6.19e-01,3.20e-02,0.05
396,0.44,0.49,5.75e-01,3.25e-02,0.06
408,0.44,0.49,6.49e-01,3.71e-02,0.06
420,0.44,0.49,5.23e-01,3.20e-02,0.06
432,0.44,0.50,6.46e-01,3.94e-02,0.06
444,0.44,0.50,6.55e-01,3.77e-02,0.06
456,0.44,0.50,5.89e-01,4.43e-02,0.08
468,0.44,0.50,5.99e-01,3.69e-02,0.06
480,0.44,0.50,5.63e-01,3.73e-02,0.07
492,0.44,0.50,5.07e-01,3.75e-02,0.07
504,0.44,0.50,5.56e-01,3.70e-02,0.07
516,0.44,0.50,5.51e-01,3.96e-02,0.07
528,0.44,0.50,5.51e-01,4.04e-02,0.07
540,0.44,0.50,6.40e-01,3.51e-02,0.05
552,0.44,0.50,5.53e-01,2.80e-02,0.05
564,0.44,0.50,5.46e-01,3.51e-02,0.06
576,0.44,0.50,5.51e-01,3.58e-02,0.06
588,0.44,0.51,5.67e-01,3.31e-02,0.06
600,0.43,0.51,5.06e-01,2.96e-02,0.06
612,0.43,0.51,6.65e-01,4.74e-02,0.07
624,0.43,0.51,5.00e-01,2.89e-02,0.06
636,0.43,0.51,5.20e-01,3.63e-02,0.07
648,0.43,0.51,5.91e-01,4.55e-02,0.08
660,0.43,0.51,5.98e-01,2.76e-02,0.05
672,0.43,0.51,5.87e-01,3.33e-02,0.06
684,0.43,0.51,5.77e-01,4.24e-02,0.07
696,0.43,0.51,5.33e-01,3.55e-02,0.07
708,0.43,0.51,6.15e-01,3.73e-02,0.06
720,0.43,0.51,4.71e-01,3.57e-02,0.08
732,0.42,0.51,4.99e-01,3.67e-02,0.07
744,0.42,0.51,5.17e-01,3.86e-02,0.07
756,0.42,0.51,5.13e-01,3.35e-02,0.07
768,0.42,0.51,5.46e-01,2.57e-02,0.05
780,0.42,0.51,5.17e-01,3.85e-02,0.07
792,0.42,0.51,4.99e-01,3.53e-02,0.07
804,0.42,0.51,4.64e-01,2.23e-02,0.05
816,0.42,0.51,6.29e-01,4.25e-02,0.07
828,0.42,0.51,5.45e-01,3.64e-02,0.07
840,0.42,0.51,4.34e-01,4.25e-02,0.10
852,0.42,0.51,5.50e-01,4.10e-02,0.07
864,0.42,0.51,5.38e-01,3.91e-02,0.07
876,0.41,0.50,4.81e-01,3.20e-02,0.07
888,0.41,0.50,5.30e-01,3.93e-02,0.07
900,0.41,0.50,5.74e-01,3.74e-02,0.07
912,0.41,0.50,5.27e-01,3.61e-02,0.07
924,0.41,0.50,5.14e-01,2.75e-02,0.05
936,0.41,0.50,5.82e-01,2.78e-02,0.05
948,0.40,0.50,5.78e-01,4.04e-02,0.07
960,0.40,0.50,5.35e-01,3.37e-02,0.06
972,0.41,0.50,5.50e-01,3.58e-02,0.07
984,0.41,0.50,5.95e-01,4.13e-02,0.07
996,0.40,0.50,5.43e-01,2.65e-02,0.05
1008,0.40,0.50,5.18e-01,1.90e-02,0.04
1020,0.40,0.50,5.37e-01,2.48e-02,0.05
1032,0.40,0.50,4.40e-01,3.63e-02,0.08
1044,0.40,0.50,5.79e-01,3.63e-02,0.06
1056,0.40,0.50,4.71e-01,3.25e-02,0.07
1068,0.40,0.50,5.55e-01,2.73e-02,0.05
1080,0.40,0.50,5.82e-01,3.87e-02,0.07
1092,0.40,0.50,5.39e-01,2.90e-02,0.05
1104,0.40,0.50,5.96e-01,3.24e-02,0.05
1116,0.40,0.50,4.57e-01,2.50e-02,0.05
1128,0.40,0.50,4.99e-01,3.33e-02,0.07
1140,0.40,0.50,6.34e-01,3.11e-02,0.05
1152,0.40,0.50,5.76e-01,3.89e-02,0.07
1164,0.40,0.50,5.44e-01,3.43e-02,0.06
1176,0.40,0.50,4.84e-01,2.37e-02,0.05
1188,0.40,0.50,5.83e-01,4.34e-02,0.07
1200,0.40,0.50,5.32e-01,4.94e-02,0.09
1212,0.40,0.50,5.27e-01,4.35e-02,0.08
1224,0.40,0.50,4.87e-01,3.66e-02,0.08
1236,0.40,0.50,5.72e-01,3.55e-02,0.06
1248,0.40,0.50,5.33e-01,2.82e-02,0.05
1260,0.40,0.50,4.81e-01,2.62e-02,0.05
1272,0.40,0.50,5.64e-01,2.86e-02,0.05
1284,0.40,0.50,5.86e-01,2.87e-02,0.05
1296,0.40,0.50,5.54e-01,2.67e-02,0.05
1308,0.40,0.50,4.49e-01,2.68e-02,0.06
1320,0.40,0.50,5.90e-01,4.23e-02,0.07
1332,0.40,0.50,5.63e-01,4.25e-02,0.08
1344,0.40,0.50,5.02e-01,2.51e-02,0.05
1356,0.40,0.50,6.60e-01,4.12e-02,0.06
1368,0.40,0.51,5.69e-01,5.27e-02,0.09
1380,0.40,0.51,4.96e-01,3.38e-02,0.07
1392,0.40,0.51,6.18e-01,3.57e-02,0.06
1404,0.40,0.51,6.06e-01,3.74e-02,0.06
1416,0.40,0.51,5.53e-01,3.44e-02,0.06
1428,0.39,0.51,5.77e-01,4.33e-02,0.07
1440,0.39,0.51,5.22e-01,2.72e-02,0.05
1452,0.39,0.51,4.72e-01,2.82e-02,0.06
1464,0.39,0.51,4.91e-01,3.76e-02,0.08
1476,0.39,0.51,5.29e-01,3.51e-02,0.07
1488,0.39,0.51,4.61e-01,3.61e-02,0.08
1500,0.39,0.51,6.54e-01,5.11e-02,0.08
1512,0.39,0.50,5.10e-01,3.64e-02,0.07
1524,0.39,0.50,5.14e-01,3.48e-02,0.07
1536,0.39,0.50,5.36e-01,2.92e-02,0.05
1548,0.40,0.50,4.84e-01,3.74e-02,0.08
1560,0.39,0.50,5.04e-01,3.25e-02,0.06
1572,0.40,0.50,5.93e-01,2.94e-02,0.05
1584,0.40,0.50,6.05e-01,4.09e-02,0.07
1596,0.39,0.50,4.94e-01,3.61e-02,0.07
1608,0.40,0.50,6.25e-01,3.91e-02,0.06
1620,0.40,0.50,4.68e-01,2.26e-02,0.05
1632,0.40,0.50,5.60e-01,3.70e-02,0.07
1644,0.40,0.50,5.57e-01,3.16e-02,0.06
1656,0.40,0.51,4.53e-01,2.99e-02,0.07
1668,0.39,0.51,4.62e-01,3.42e-02,0.07
1680,0.39,0.51,4.51e-01,3.22e-02,0.07
1692,0.39,0.51,4.85e-01,3.23e-02,0.07
1704,0.39,0.51,6.30e-01,6.43e-02,0.10
1716,0.39,0.51,4.16e-01,2.61e-02,0.06
1728,0.39,0.51,4.56e-01,3.68e-02,0.08
1740,0.39,0.51,5.41e-01,3.63e-02,0.07
1752,0.39,0.51,4.92e-01,3.31e-02,0.07
1764,0.39,0.51,4.52e-01,3.66e-02,0.08
1776,0.40,0.51,5.51e-01,4.33e-02,0.08
1788,0.40,0.51,5.34e-01,3.85e-02,0.07
1800,0.40,0.51,5.25e-01,3.25e-02,0.06
1812,0.40,0.51,5.29e-01,4.48e-02,0.08
1824,0.40,0.51,5.51e-01,3.70e-02,0.07
1836,0.40,0.51,5.80e-01,4.20e-02,0.07
1848,0.40,0.51,5.24e-01,3.15e-02,0.06
1860,0.40,0.51,5.74e-01,3.87e-02,0.07
1872,0.40,0.51,4.97e-01,3.08e-02,0.06
1884,0.40,0.51,5.31e-01,2.34e-02,0.04
1896,0.40,0.51,5.20e-01,3.77e-02,0.07
1908,0.40,0.51,5.75e-01,4.17e-02,0.07
1920,0.40,0.51,5.06e-01,3.26e-02,0.06
1932,0.40,0.51,6.07e-01,4.86e-02,0.08
1944,0.40,0.51,6.31e-01,4.63e-02,0.07
1956,0.40,0.51,5.19e-01,4.05e-02,0.08
1968,0.40,0.51,5.86e-01,3.09e-02,0.05
1980,0.40,0.52,6.25e-01,3.66e-02,0.06
1992,0.40,0.51,6.13e-01,4.33e-02,0.07
2004,0.40,0.51,6.14e-01,2.82e-02,0.05
2016,0.40,0.51,5.52e-01,3.53e-02,0.06
2028,0.40,0.51,5.19e-01,3.33e-02,0.06
2040,0.40,0.51,5.48e-01,3.46e-02,0.06
2052,0.40,0.51,5.85e-01,3.36e-02,0.06
2064,0.40,0.51,5.55e-01,2.99e-02,0.05
2076,0.40,0.51,4.71e-01,3.33e-02,0.07
2088,0.40,0.51,6.28e-01,4.76e-02,0.08
2100,0.40,0.51,5.33e-01,3.27e-02,0.06
2112,0.40,0.51,5.14e-01,3.85e-02,0.08
2124,0.40,0.51,7.29e-01,6.15e-02,0.08
2136,0.40,0.52,4.18e-01,3.55e-02,0.09
2148,0.40,0.52,8.01e-01,6.44e-02,0.08
2160,0.40,0.52,6.13e-01,5.16e-02,0.08
2172,0.40,0.52,5.39e-01,4.32e-02,0.08
2184,0.40,0.52,5.76e-01,3.77e-02,0.07
2196,0.40,0.52,6.42e-01,5.61e-02,0.09
2208,0.40,0.52,5.74e-01,3.90e-02,0.07
2220,0.40,0.52,5.03e-01,3.81e-02,0.08
2232,0.40,0.52,5.56e-01,4.42e-02,0.08
2244,0.40,0.52,5.82e-01,3.63e-02,0.06
2256,0.40,0.52,5.38e-01,3.75e-02,0.07
2268,0.40,0.52,6.30e-01,4.86e-02,0.08
2280,0.41,0.52,6.78e-01,6.21e-02,0.09
2292,0.40,0.52,6.31e-01,4.03e-02,0.06
2304,0.40,0.52,5.22e-01,4.31e-02,0.08
2316,0.40,0.52,5.10e-01,4.62e-02,0.09
2328,0.40,0.52,4.86e-01,2.96e-02,0.06
2340,0.40,0.52,5.74e-01,3.09e-02,0.05
2352,0.40,0.52,6.02e-01,4.23e-02,0.07
2364,0.40,0.52,5.24e-01,3.21e-02,0.06
2376,0.41,0.52,5.24e-01,3.16e-02,0.06
2388,0.41,0.52,5.70e-01,3.94e-02,0.07
2400,0.41,0.52,5.61e-01,3.93e-02,0.07
2412,0.41,0.52,6.02e-01,4.87e-02,0.08
2424,0.41,0.52,4.76e-01,4.71e-02,0.10
2436,0.41,0.52,6.09e-01,5.81e-02,0.10
2448,0.41,0.52,5.42e-01,3.41e-02,0.06
2460,0.41,0.52,6.94e-01,4.05e-02,0.06
2472,0.41,0.52,6.54e-01,4.60e-02,0.07
2484,0.41,0.52,5.35e-01,3.80e-02,0.07
2496,0.41,0.52,5.34e-01,4.13e-02,0.08
2508,0.41,0.52,4.28e-01,3.50e-02,0.08
2520,0.41,0.52,5.22e-01,4.28e-02,0.08
2532,0.41,0.52,5.98e-01,4.85e-02,0.08
2544,0.41,0.52,5.54e-01,3.65e-02,0.07
2556,0.41,0.51,5.88e-01,3.16e-02,0.05
