ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
12,0.42,0.51,4.50e-01,4.75e-02,0.11
24,0.42,0.51,3.13e-01,2.95e-02,0.09
36,0.42,0.51,3.19e-01,2.20e-02,0.07
48,0.42,0.51,2.83e-01,2.35e-02,0.08
60,0.42,0.51,5.03e-01,3.81e-02,0.08
72,0.42,0.51,4.49e-01,3.54e-02,0.08
84,0.42,0.51,5.56e-01,4.73e-02,0.09
96,0.42,0.51,3.73e-01,3.78e-02,0.10
108,0.42,0.51,3.86e-01,3.78e-02,0.10
120,0.42,0.51,3.45e-01,4.02e-02,0.12
132,0.42,0.51,3.15e-01,4.39e-02,0.14
144,0.42,0.50,3.16e-01,2.29e-02,0.07
156,0.43,0.51,5.92e-01,4.00e-02,0.07
168,0.43,0.51,4.76e-01,4.32e-02,0.09
180,0.43,0.51,3.78e-01,3.19e-02,0.08
192,0.43,0.51,4.71e-01,3.45e-02,0.07
204,0.43,0.51,3.90e-01,4.05e-02,0.10
216,0.43,0.50,5.34e-01,4.87e-02,0.09
228,0.43,0.50,4.33e-01,3.00e-02,0.07
240,0.43,0.50,3.91e-01,4.05e-02,0.10
252,0.43,0.50,1.38e+00,5.73e-01,0.41
264,0.43,0.50,3.85e-01,4.25e-02,0.11
276,0.43,0.50,3.20e-01,3.08e-02,0.10
288,0.43,0.50,4.42e-01,4.98e-02,0.11
300,0.43,0.50,3.36e-01,3.19e-02,0.09
312,0.43,0.50,3.48e-01,3.33e-02,0.10
324,0.43,0.51,4.77e-01,4.79e-02,0.10
336,0.43,0.51,4.42e-01,3.59e-02,0.08
348,0.43,0.51,3.93e-01,2.86e-02,0.07
360,0.43,0.51,3.51e-01,2.93e-02,0.08
372,0.43,0.51,3.58e-01,3.86e-02,0.11
384,0.43,0.51,4.78e-01,3.53e-02,0.07
396,0.43,0.51,4.53e-01,4.30e-02,0.09
408,0.43,0.51,3.14e-01,2.21e-02,0.07
420,0.43,0.51,4.55e-01,5.53e-02,0.12
432,0.43,0.51,3.71e-01,2.39e-02,0.06
444,0.43,0.51,3.04e-01,3.18e-02,0.10
456,0.43,0.51,3.32e-01,3.60e-02,0.11
468,0.43,0.51,3.76e-01,3.22e-02,0.09
480,0.43,0.51,4.14e-01,2.52e-02,0.06
492,0.43,0.50,4.36e-01,5.31e-02,0.12
504,0.43,0.50,3.09e-01,3.43e-02,0.11
516,0.43,0.51,5.49e-01,6.69e-02,0.12
528,0.44,0.51,6.48e-01,6.03e-02,0.09
540,0.43,0.50,5.92e-01,6.75e-02,0.11
552,0.43,0.51,3.59e-01,3.44e-02,0.10
564,0.43,0.51,4.03e-01,3.52e-02,0.09
576,0.43,0.50,3.46e-01,3.74e-02,0.11
588,0.43,0.50,4.84e-01,5.75e-02,0.12
600,0.43,0.51,3.24e-01,3.32e-02,0.10
612,0.43,0.51,4.70e-01,3.86e-02,0.08
624,0.43,0.51,3.46e-01,2.44e-02,0.07
636,0.43,0.50,3.29e-01,3.05e-02,0.09
648,0.43,0.50,3.42e-01,2.95e-02,0.09
660,0.43,0.50,3.10e-01,2.07e-02,0.07
672,0.43,0.50,3.86e-01,2.93e-02,0.08
684,0.43,0.50,4.23e-01,4.91e-02,0.12
696,0.43,0.50,3.00e-01,2.68e-02,0.09
708,0.43,0.50,5.38e-01,4.25e-02,0.08
720,0.43,0.50,3.53e-01,3.68e-02,0.10
732,0.43,0.50,5.37e-01,8.28e-02,0.15
744,0.43,0.50,4.25e-01,6.63e-02,0.16
756,0.43,0.50,3.92e-01,5.93e-02,0.15
768,0.43,0.50,3.19e-01,2.33e-02,0.07
780,0.42,0.50,3.10e-01,3.56e-02,0.11
792,0.42,0.50,4.35e-01,4.26e-02,0.10
804,0.43,0.50,3.11e-01,3.21e-02,0.10
816,0.42,0.50,6.01e-01,5.82e-02,0.10
828,0.42,0.50,5.59e-01,4.01e-02,0.07
840,0.42,0.50,4.50e-01,4.79e-02,0.11
852,0.42,0.50,3.01e-01,3.28e-02,0.11
864,0.42,0.50,3.80e-01,3.95e-02,0.10
876,0.42,0.50,3.53e-01,3.82e-02,0.11
888,0.42,0.50,4.44e-01,3.84e-02,0.09
900,0.42,0.50,3.75e-01,3.96e-02,0.11
912,0.42,0.50,3.32e-01,3.00e-02,0.09
924,0.42,0.50,5.69e-01,5.33e-02,0.09
936,0.42,0.50,3.80e-01,6.08e-02,0.16
948,0.42,0.50,4.53e-01,3.32e-02,0.07
960,0.42,0.50,4.21e-01,4.62e-02,0.11
972,0.42,0.50,3.34e-01,2.20e-02,0.07
984,0.42,0.50,2.95e-01,2.63e-02,0.09
996,0.42,0.50,3.50e-01,3.20e-02,0.09
1008,0.42,0.50,2.83e-01,2.22e-02,0.08
1020,0.42,0.50,5.88e-01,4.30e-02,0.07
1032,0.42,0.50,4.73e-01,4.22e-02,0.09
1044,0.42,0.50,4.16e-01,3.58e-02,0.09
1056,0.42,0.50,3.60e-01,3.01e-02,0.08
1068,0.42,0.50,4.37e-01,5.87e-02,0.13
