ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
1080,0.42,0.50,3.58e-01,3.13e-02,0.09
1092,0.42,0.50,4.20e-01,3.34e-02,0.08
1104,0.42,0.50,7.10e-01,6.09e-02,0.09
1116,0.42,0.50,4.34e-01,4.09e-02,0.09
1128,0.42,0.50,6.82e-01,1.24e-01,0.18
1140,0.42,0.50,2.43e-01,2.17e-02,0.09
1152,0.42,0.50,2.48e-01,2.76e-02,0.11
1164,0.42,0.50,5.45e-01,4.74e-02,0.09
1176,0.42,0.50,3.99e-01,5.20e-02,0.13
1188,0.42,0.50,1.08e+00,9.04e-02,0.08
1200,0.42,0.50,2.41e-01,2.12e-02,0.09
1212,0.42,0.50,2.97e-01,3.55e-02,0.12
1224,0.42,0.50,4.78e-01,6.61e-02,0.14
1236,0.42,0.50,3.09e-01,2.75e-02,0.09
1248,0.42,0.50,3.84e-01,4.41e-02,0.12
1260,0.42,0.50,5.78e-01,4.28e-02,0.07
1272,0.41,0.50,6.31e-01,3.82e-02,0.06
1284,0.41,0.50,4.89e-01,6.11e-02,0.13
1296,0.42,0.50,3.37e-01,2.29e-02,0.07
1308,0.42,0.50,4.44e-01,2.99e-02,0.07
1320,0.41,0.50,3.87e-01,3.69e-02,0.10
1332,0.42,0.50,4.70e-01,3.00e-02,0.06
1344,0.42,0.50,4.05e-01,4.02e-02,0.10
1356,0.42,0.50,8.68e-01,6.45e-02,0.07
1368,0.42,0.50,3.56e-01,1.88e-02,0.05
1380,0.42,0.49,5.17e-01,4.64e-02,0.09
1392,0.42,0.49,3.75e-01,2.53e-02,0.07
1404,0.42,0.49,2.68e-01,2.99e-02,0.11
1416,0.42,0.50,3.04e-01,3.13e-02,0.10
1428,0.42,0.50,3.53e-01,3.27e-02,0.09
1440,0.42,0.50,3.43e-01,3.12e-02,0.09
1452,0.42,0.50,2.71e-01,1.73e-02,0.06
1464,0.42,0.50,4.32e-01,4.33e-02,0.10
1476,0.42,0.50,6.44e-01,9.99e-02,0.15
1488,0.42,0.50,4.02e-01,3.66e-02,0.09
1500,0.42,0.50,4.17e-01,4.19e-02,0.10
1512,0.42,0.50,5.53e-01,3.71e-02,0.07
1524,0.42,0.50,3.50e-01,3.21e-02,0.09
1536,0.42,0.50,6.27e-01,5.39e-02,0.09
1548,0.42,0.50,5.69e-01,5.71e-02,0.10
1560,0.42,0.50,4.12e-01,5.79e-02,0.14
1572,0.42,0.50,4.19e-01,5.12e-02,0.12
1584,0.42,0.50,1.06e+00,1.10e-01,0.10
1596,0.42,0.50,4.95e-01,3.86e-02,0.08
1608,0.42,0.50,5.36e-01,4.07e-02,0.08
1620,0.42,0.50,2.79e-01,3.16e-02,0.11
1632,0.42,0.50,3.58e-01,3.69e-02,0.10
1644,0.42,0.50,6.58e-01,5.51e-02,0.08
1656,0.42,0.50,5.01e-01,7.11e-02,0.14
1668,0.42,0.50,4.58e-01,2.99e-02,0.07
1680,0.42,0.50,5.01e-01,4.65e-02,0.09
1692,0.42,0.50,5.79e-01,6.08e-02,0.11
1704,0.42,0.50,4.45e-01,4.54e-02,0.10
1716,0.42,0.50,7.55e-01,4.11e-02,0.05
1728,0.42,0.50,6.92e-01,6.11e-02,0.09
1740,0.42,0.50,3.32e-01,2.74e-02,0.08
1752,0.42,0.50,3.22e-01,4.16e-02,0.13
1764,0.42,0.50,5.67e-01,3.93e-02,0.07
1776,0.42,0.50,3.53e-01,3.13e-02,0.09
1788,0.42,0.50,5.25e-01,5.83e-02,0.11
1800,0.42,0.50,3.54e-01,3.32e-02,0.09
1812,0.42,0.50,4.25e-01,2.98e-02,0.07
1824,0.42,0.50,3.54e-01,4.14e-02,0.12
1836,0.42,0.49,4.93e-01,3.61e-02,0.07
1848,0.42,0.49,3.96e-01,5.67e-02,0.14
1860,0.42,0.49,6.70e-01,4.37e-02,0.07
1872,0.42,0.49,3.82e-01,2.77e-02,0.07
1884,0.42,0.49,6.98e-01,4.77e-02,0.07
1896,0.42,0.49,3.77e-01,5.04e-02,0.13
1908,0.42,0.49,4.29e-01,4.34e-02,0.10
1920,0.42,0.49,5.78e-01,6.37e-02,0.11
1932,0.42,0.49,5.59e-01,5.53e-02,0.10
1944,0.42,0.49,5.60e-01,5.28e-02,0.09
1956,0.42,0.49,6.52e-01,8.73e-02,0.13
1968,0.42,0.50,4.23e-01,6.28e-02,0.15
1980,0.42,0.50,5.03e-01,3.18e-02,0.06
1992,0.42,0.50,9.14e-01,6.39e-02,0.07
2000,0.42,0.49,3.43e-01,4.48e-02,0.13
